Entity,Code,Year,Period life expectancy at birth
Austria,AUT,1950,64.8131
Austria,AUT,1951,65.2225
Austria,AUT,1952,66.7483
Austria,AUT,1953,67.2543
Austria,AUT,1954,67.2867
Austria,AUT,1955,67.5509
Austria,AUT,1956,67.681
Austria,AUT,1957,67.4448
Austria,AUT,1958,68.4551
Austria,AUT,1959,68.3921
Austria,AUT,1960,68.7468
Austria,AUT,1961,69.7129
Austria,AUT,1962,69.4991
Austria,AUT,1963,69.6529
Austria,AUT,1964,70.1194
Austria,AUT,1965,69.9316
Austria,AUT,1966,70.2228
Austria,AUT,1967,70.1157
Austria,AUT,1968,70.2678
Austria,AUT,1969,70.0414
Austria,AUT,1970,70.086
Austria,AUT,1971,70.2905
Austria,AUT,1972,70.6196
Austria,AUT,1973,71.1953
Austria,AUT,1974,71.1741
Austria,AUT,1975,71.3264
Austria,AUT,1976,71.7881
Austria,AUT,1977,72.135
Austria,AUT,1978,72.2031
Austria,AUT,1979,72.5428
Austria,AUT,1980,72.6676
Austria,AUT,1981,72.9901
Austria,AUT,1982,73.1434
Austria,AUT,1983,73.2168
Austria,AUT,1984,73.7658
Austria,AUT,1985,73.9861
Austria,AUT,1986,74.4574
Austria,AUT,1987,74.9001
Austria,AUT,1988,75.3743
Austria,AUT,1989,75.4635
Austria,AUT,1990,75.7385
Austria,AUT,1991,75.7921
Austria,AUT,1992,75.992
Austria,AUT,1993,76.2247
Austria,AUT,1994,76.5414
Austria,AUT,1995,76.7753
Austria,AUT,1996,77.0256
Austria,AUT,1997,77.4279
Austria,AUT,1998,77.7823
Austria,AUT,1999,77.9554
Austria,AUT,2000,78.235
Austria,AUT,2001,78.7184
Austria,AUT,2002,78.8464
Austria,AUT,2003,78.8491
Austria,AUT,2004,79.3624
Austria,AUT,2005,79.5202
Austria,AUT,2006,79.9648
Austria,AUT,2007,80.1664
Austria,AUT,2008,80.3633
Austria,AUT,2009,80.2064
Austria,AUT,2010,80.4634
Austria,AUT,2011,80.8281
Austria,AUT,2012,80.8407
Austria,AUT,2013,81.078
Austria,AUT,2014,81.39
Austria,AUT,2015,81.1592
Austria,AUT,2016,81.5922
Austria,AUT,2017,81.6387
Austria,AUT,2018,81.6859
Austria,AUT,2019,81.9072
Austria,AUT,2020,81.8037
Austria,AUT,2021,81.8204
Austria,AUT,2022,81.2959
Austria,AUT,2023,81.9559
Croatia,HRV,1950,58.4528
Croatia,HRV,1951,59.0304
Croatia,HRV,1952,59.8436
Croatia,HRV,1953,61.4886
Croatia,HRV,1954,62.231
Croatia,HRV,1955,63.101
Croatia,HRV,1956,63.5591
Croatia,HRV,1957,64.4122
Croatia,HRV,1958,65.0314
Croatia,HRV,1959,65.5485
Croatia,HRV,1960,65.9462
Croatia,HRV,1961,66.549
Croatia,HRV,1962,67.2665
Croatia,HRV,1963,67.6194
Croatia,HRV,1964,68.044
Croatia,HRV,1965,68.4751
Croatia,HRV,1966,68.9137
Croatia,HRV,1967,69.0432
Croatia,HRV,1968,68.8924
Croatia,HRV,1969,68.9562
Croatia,HRV,1970,69.1747
Croatia,HRV,1971,69.446
Croatia,HRV,1972,69.7534
Croatia,HRV,1973,70.106
Croatia,HRV,1974,70.6122
Croatia,HRV,1975,71.0405
Croatia,HRV,1976,71.3659
Croatia,HRV,1977,71.3716
Croatia,HRV,1978,71.265
Croatia,HRV,1979,71.0947
Croatia,HRV,1980,70.969
Croatia,HRV,1981,70.8764
Croatia,HRV,1982,70.6625
Croatia,HRV,1983,70.7456
Croatia,HRV,1984,70.9782
Croatia,HRV,1985,71.5285
Croatia,HRV,1986,71.7882
Croatia,HRV,1987,71.9377
Croatia,HRV,1988,72.1502
Croatia,HRV,1989,72.4968
Croatia,HRV,1990,72.2429
Croatia,HRV,1991,70.5745
Croatia,HRV,1992,71.7206
Croatia,HRV,1993,72.3053
Croatia,HRV,1994,72.6142
Croatia,HRV,1995,72.5612
Croatia,HRV,1996,72.9752
Croatia,HRV,1997,72.9898
Croatia,HRV,1998,73.1929
Croatia,HRV,1999,73.6092
Croatia,HRV,2000,74.0014
Croatia,HRV,2001,74.3547
Croatia,HRV,2002,74.6461
Croatia,HRV,2003,74.7093
Croatia,HRV,2004,75.2665
Croatia,HRV,2005,75.5705
Croatia,HRV,2006,75.6767
Croatia,HRV,2007,75.886
Croatia,HRV,2008,76.0009
Croatia,HRV,2009,76.3127
Croatia,HRV,2010,76.6761
Croatia,HRV,2011,76.9926
Croatia,HRV,2012,77.2841
Croatia,HRV,2013,77.51
Croatia,HRV,2014,77.5144
Croatia,HRV,2015,77.6329
Croatia,HRV,2016,77.6294
Croatia,HRV,2017,77.7264
Croatia,HRV,2018,77.8654
Croatia,HRV,2019,78.197
Croatia,HRV,2020,77.4972
Croatia,HRV,2021,77.1412
Croatia,HRV,2022,78.2779
Croatia,HRV,2023,78.5803
Hungary,HUN,1950,62.1384
Hungary,HUN,1951,62.4732
Hungary,HUN,1952,63.9297
Hungary,HUN,1953,63.8508
Hungary,HUN,1954,65.4296
Hungary,HUN,1955,66.8977
Hungary,HUN,1956,66.0009
Hungary,HUN,1957,66.3468
Hungary,HUN,1958,67.4366
Hungary,HUN,1959,67.3261
Hungary,HUN,1960,68.0871
Hungary,HUN,1961,69.0169
Hungary,HUN,1962,67.9409
Hungary,HUN,1963,68.9436
Hungary,HUN,1964,69.4676
Hungary,HUN,1965,69.1487
Hungary,HUN,1966,69.8965
Hungary,HUN,1967,69.4627
Hungary,HUN,1968,69.3445
Hungary,HUN,1969,69.3797
Hungary,HUN,1970,69.2187
Hungary,HUN,1971,69.0791
Hungary,HUN,1972,69.7199
Hungary,HUN,1973,69.599
Hungary,HUN,1974,69.273
Hungary,HUN,1975,69.4222
Hungary,HUN,1976,69.6571
Hungary,HUN,1977,69.9352
Hungary,HUN,1978,69.4699
Hungary,HUN,1979,69.6697
Hungary,HUN,1980,69.0886
Hungary,HUN,1981,69.1506
Hungary,HUN,1982,69.3529
Hungary,HUN,1983,68.9291
Hungary,HUN,1984,68.9647
Hungary,HUN,1985,68.9019
Hungary,HUN,1986,69.1132
Hungary,HUN,1987,69.564
Hungary,HUN,1988,69.9424
Hungary,HUN,1989,69.3945
Hungary,HUN,1990,69.3718
Hungary,HUN,1991,69.4409
Hungary,HUN,1992,69.1672
Hungary,HUN,1993,69.1803
Hungary,HUN,1994,69.6042
Hungary,HUN,1995,69.9689
Hungary,HUN,1996,70.5972
Hungary,HUN,1997,71.0034
Hungary,HUN,1998,70.9186
Hungary,HUN,1999,71.0402
Hungary,HUN,2000,71.7581
Hungary,HUN,2001,72.3944
Hungary,HUN,2002,72.5072
Hungary,HUN,2003,72.5135
Hungary,HUN,2004,72.906
Hungary,HUN,2005,72.8649
Hungary,HUN,2006,73.3441
Hungary,HUN,2007,73.4314
Hungary,HUN,2008,73.9571
Hungary,HUN,2009,74.179
Hungary,HUN,2010,74.5189
Hungary,HUN,2011,74.9226
Hungary,HUN,2012,75.1826
Hungary,HUN,2013,75.6827
Hungary,HUN,2014,75.8493
Hungary,HUN,2015,75.6536
Hungary,HUN,2016,76.1569
Hungary,HUN,2017,76.007
Hungary,HUN,2018,76.2049
Hungary,HUN,2019,76.4546
Hungary,HUN,2020,75.7302
Hungary,HUN,2021,74.1851
Hungary,HUN,2022,76.2118
Hungary,HUN,2023,77.024
Italy,ITA,1950,65.7249
Italy,ITA,1951,65.322
Italy,ITA,1952,65.914
Italy,ITA,1953,66.5789
Italy,ITA,1954,67.8593
Italy,ITA,1955,68.2514
Italy,ITA,1956,67.6395
Italy,ITA,1957,67.7777
Italy,ITA,1958,68.8543
Italy,ITA,1959,69.3067
Italy,ITA,1960,69.2074
Italy,ITA,1961,69.8205
Italy,ITA,1962,69.2196
Italy,ITA,1963,69.3165
Italy,ITA,1964,70.3842
Italy,ITA,1965,70.2601
Italy,ITA,1966,70.9989
Italy,ITA,1967,71.0343
Italy,ITA,1968,70.8687
Italy,ITA,1969,70.8639
Italy,ITA,1970,71.6296
Italy,ITA,1971,71.8827
Italy,ITA,1972,72.1451
Italy,ITA,1973,72.1053
Italy,ITA,1974,72.8037
Italy,ITA,1975,72.7281
Italy,ITA,1976,73.0698
Italy,ITA,1977,73.4398
Italy,ITA,1978,73.7759
Italy,ITA,1979,74.106
Italy,ITA,1980,74.0518
Italy,ITA,1981,74.4385
Italy,ITA,1982,74.9126
Italy,ITA,1983,74.7351
Italy,ITA,1984,75.4991
Italy,ITA,1985,75.6068
Italy,ITA,1986,75.9188
Italy,ITA,1987,76.3436
Italy,ITA,1988,76.5324
Italy,ITA,1989,76.9269
Italy,ITA,1990,76.9936
Italy,ITA,1991,76.9898
Italy,ITA,1992,77.3647
Italy,ITA,1993,77.6529
Italy,ITA,1994,77.8725
Italy,ITA,1995,78.1253
Italy,ITA,1996,78.4381
Italy,ITA,1997,78.7346
Italy,ITA,1998,78.8068
Italy,ITA,1999,79.205
Italy,ITA,2000,79.607
Italy,ITA,2001,79.8849
Italy,ITA,2002,80.112
Italy,ITA,2003,80.191
Italy,ITA,2004,81.0175
Italy,ITA,2005,81.0201
Italy,ITA,2006,81.4137
Italy,ITA,2007,81.5002
Italy,ITA,2008,81.6454
Italy,ITA,2009,81.7619
Italy,ITA,2010,82.1319
Italy,ITA,2011,82.2282
Italy,ITA,2012,82.252
Italy,ITA,2013,82.6522
Italy,ITA,2014,82.9008
Italy,ITA,2015,82.5211
Italy,ITA,2016,83.0459
Italy,ITA,2017,82.7263
Italy,ITA,2018,83.1844
Italy,ITA,2019,83.3423
Italy,ITA,2020,82.1814
Italy,ITA,2021,82.8652
Italy,ITA,2022,82.052
Italy,ITA,2023,83.7157
Slovenia,SVN,1950,61.8152
Slovenia,SVN,1951,62.3464
Slovenia,SVN,1952,63.8311
Slovenia,SVN,1953,65.3235
Slovenia,SVN,1954,66.0659
Slovenia,SVN,1955,66.0674
Slovenia,SVN,1956,66.5023
Slovenia,SVN,1957,67.0387
Slovenia,SVN,1958,67.6677
Slovenia,SVN,1959,68.1529
Slovenia,SVN,1960,68.5344
Slovenia,SVN,1961,68.8851
Slovenia,SVN,1962,68.851
Slovenia,SVN,1963,68.6072
Slovenia,SVN,1964,68.4869
Slovenia,SVN,1965,68.7006
Slovenia,SVN,1966,68.8814
Slovenia,SVN,1967,68.9725
Slovenia,SVN,1968,68.6083
Slovenia,SVN,1969,68.5912
Slovenia,SVN,1970,69.0488
Slovenia,SVN,1971,69.715
Slovenia,SVN,1972,70.33
Slovenia,SVN,1973,70.7523
Slovenia,SVN,1974,71.0388
Slovenia,SVN,1975,71.0825
Slovenia,SVN,1976,71.1377
Slovenia,SVN,1977,71.2652
Slovenia,SVN,1978,71.5871
Slovenia,SVN,1979,71.6255
Slovenia,SVN,1980,71.8172
Slovenia,SVN,1981,71.6474
Slovenia,SVN,1982,71.3683
Slovenia,SVN,1983,71.1885
Slovenia,SVN,1984,71.3331
Slovenia,SVN,1985,71.8019
Slovenia,SVN,1986,72.0879
Slovenia,SVN,1987,72.4437
Slovenia,SVN,1988,72.7634
Slovenia,SVN,1989,73.2901
Slovenia,SVN,1990,73.4654
Slovenia,SVN,1991,73.4746
Slovenia,SVN,1992,73.4192
Slovenia,SVN,1993,73.584
Slovenia,SVN,1994,73.9062
Slovenia,SVN,1995,74.4188
Slovenia,SVN,1996,74.7968
Slovenia,SVN,1997,74.9886
Slovenia,SVN,1998,75.1392
Slovenia,SVN,1999,75.4538
Slovenia,SVN,2000,75.8302
Slovenia,SVN,2001,76.1809
Slovenia,SVN,2002,76.3155
Slovenia,SVN,2003,76.3172
Slovenia,SVN,2004,76.9319
Slovenia,SVN,2005,77.5029
Slovenia,SVN,2006,77.8204
Slovenia,SVN,2007,78.2855
Slovenia,SVN,2008,78.595
Slovenia,SVN,2009,79.027
Slovenia,SVN,2010,79.3008
Slovenia,SVN,2011,79.5884
Slovenia,SVN,2012,79.7652
Slovenia,SVN,2013,80.0884
Slovenia,SVN,2014,80.2517
Slovenia,SVN,2015,80.4994
Slovenia,SVN,2016,80.512
Slovenia,SVN,2017,80.6163
Slovenia,SVN,2018,80.861
Slovenia,SVN,2019,81.007
Slovenia,SVN,2020,80.3641
Slovenia,SVN,2021,80.434
Slovenia,SVN,2022,80.7933
Slovenia,SVN,2023,81.6034
